,Class
0,1
1,0
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,0
10,0
11,0
12,1
13,0
14,1
15,1
16,0
17,0
18,1
19,1
20,0
21,0
22,0
23,0
24,1
25,0
26,0
27,1
28,1
29,1
30,0
31,0
32,0
33,0
34,0
35,1
36,1
37,0
38,0
39,1
40,1
41,1
42,1
43,0
44,1
45,1
46,0
47,0
48,0
49,1
50,1
51,1
52,1
53,0
54,1
55,1
56,0
57,0
58,1
59,0
60,1
61,1
62,0
63,0
64,0
65,0
66,0
67,0
68,1
69,1
70,1
71,1
72,1
73,0
74,0
75,0
76,1
77,1
78,0
79,0
80,1
81,0
82,1
83,1
84,0
85,1
86,0
87,0
88,1
89,0
90,1
91,0
92,1
93,1
94,1
95,1
96,0
97,0
98,1
99,0
100,1
101,1
102,0
103,0
104,1
105,1
106,1
107,0
108,0
109,1
110,1
111,0
112,0
113,0
114,0
115,0
116,0
117,1
118,0
119,0
120,0
121,0
122,1
123,1
124,1
125,0
126,0
127,1
128,0
129,0
130,1
131,0
132,0
133,1
134,1
135,0
136,0
137,0
138,0
139,1
140,1
141,1
142,0
143,0
144,0
145,0
146,0
147,1
148,1
149,1
150,1
151,0
152,0
153,1
154,0
155,1
156,1
157,1
158,0
159,1
160,1
161,1
162,0
163,0
164,1
165,1
166,1
167,0
168,0
169,0
170,1
171,1
172,0
173,0
174,1
175,0
176,1
177,1
178,0
179,1
180,1
181,0
182,1
183,1
184,0
185,0
186,1
187,0
188,0
189,0
190,0
191,1
192,0
193,0
194,1
195,0
196,0
197,0
198,1
199,0
200,1
201,1
202,1
203,0
204,0
205,1
206,0
207,1
208,0
209,1
210,1
211,1
212,0
213,1
214,1
215,0
216,1
217,1
218,0
219,0
220,1
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,1
229,0
230,1
231,0
232,1
233,0
234,0
235,0
236,1
237,1
238,0
239,1
240,1
241,1
242,1
243,1
244,1
245,0
246,0
247,1
248,1
249,1
250,0
251,1
252,1
253,0
254,0
255,0
256,1
257,1
258,1
259,0
260,1
261,1
262,0
263,0
264,0
265,1
266,0
267,0
268,0
269,1
270,0
271,1
272,1
273,1
274,0
275,1
276,0
277,0
278,1
279,0
280,1
281,1
282,0
283,0
284,0
285,1
286,1
287,1
288,1
289,0
290,1
291,0
292,1
293,0
294,1
295,1
296,0
297,0
298,1
299,0
300,0
301,1
302,0
303,0
304,0
305,0
306,0
307,0
308,1
309,0
310,0
311,0
312,1
313,1
314,0
315,0
316,1
317,1
318,1
319,1
320,1
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,1
329,1
330,1
331,0
332,1
333,0
334,1
335,1
336,1
337,0
338,0
339,1
340,1
341,0
342,1
343,1
344,0
345,0
346,0
347,0
348,0
349,1
350,0
351,1
352,0
353,0
354,0
355,1
356,0
357,1
358,1
359,1
360,1
361,0
362,1
363,0
364,0
365,1
366,1
367,0
368,0
369,1
370,1
371,0
372,0
373,0
374,0
375,0
376,1
377,0
378,0
379,1
380,0
381,1
382,1
383,0
384,0
385,1
386,0
387,1
388,0
389,1
390,0
391,0
392,1
393,0
394,1
395,0
396,1
397,1
398,0
399,1
400,1
401,1
402,0
403,1
404,0
405,0
406,1
407,1
408,0
409,0
410,0
411,1
412,0
413,0
414,1
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,1
424,1
425,0
426,0
427,1
428,0
429,1
430,0
431,1
432,1
433,0
434,0
435,1
436,0
437,0
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,0
447,1
448,0
449,1
450,0
451,0
452,0
453,1
454,0
455,0
456,0
457,0
458,0
459,0
460,1
461,0
462,0
463,1
464,1
465,0
466,1
467,1
468,1
469,1
470,1
471,0
472,0
473,1
474,0
475,1
476,1
477,0
478,0
479,1
480,0
481,1
482,0
483,0
484,0
485,0
486,1
487,0
488,1
489,0
490,0
491,1
492,0
493,1
494,1
495,1
496,1
497,1
498,0
499,1
500,0
501,1
502,1
503,0
504,0
505,0
506,0
507,1
508,0
509,0
510,0
511,1
512,1
513,0
514,0
515,1
516,1
517,1
518,0
519,0
520,0
521,1
522,1
523,0
524,0
525,1
526,0
527,0
528,0
529,1
530,1
531,1
532,0
533,1
534,0
535,0
536,0
537,1
538,1
539,1
540,1
541,0
542,0
543,1
544,1
545,1
546,0
547,0
548,0
549,0
550,0
551,1
552,1
553,1
554,0
555,0
556,1
557,1
558,1
559,0
560,1
561,0
562,0
563,0
564,1
565,1
566,1
567,1
568,0
569,1
570,1
571,0
572,0
573,1
574,0
575,0
576,1
577,0
578,1
579,0
580,1
581,0
582,1
583,1
584,1
585,0
586,0
587,0
588,0
589,0
590,1
591,0
592,1
593,0
594,1
595,1
596,1
597,0
598,0
599,1
600,1
601,1
602,1
603,1
604,1
605,0
606,0
607,1
608,1
609,0
610,0
611,1
612,0
613,1
614,1
615,0
616,1
617,1
618,1
619,0
620,0
621,0
622,1
623,1
624,0
625,0
626,0
627,1
628,1
629,0
630,1
631,1
632,0
633,0
634,0
635,1
636,1
637,0
638,1
639,1
640,1
641,1
642,0
643,1
644,1
645,0
646,1
647,1
648,1
649,0
650,0
651,0
652,0
653,0
654,1
655,0
656,0
657,0
658,1
659,1
660,1
661,0
662,1
663,0
664,1
665,0
666,1
667,1
668,0
669,0
670,0
671,1
672,0
673,0
674,0
675,1
676,0
677,1
678,0
679,0
680,0
681,0
682,1
683,0
684,0
685,1
686,1
687,0
688,1
689,0
690,0
691,0
692,1
693,0
694,0
695,1
696,0
697,0
698,1
699,0
700,1
701,1
702,0
703,1
704,1
705,1
706,0
707,1
708,0
709,1
710,1
711,1
712,0
713,1
714,1
715,1
716,0
717,0
718,1
719,0
720,0
721,0
722,1
723,1
724,1
725,1
726,0
727,1
728,0
729,0
730,1
731,0
732,1
733,1
734,0
735,0
736,0
737,1
738,0
739,0
740,1
741,0
742,0
743,1
744,1
745,1
746,1
747,1
748,0
749,0
750,0
751,1
752,0
753,1
754,1
755,1
756,1
757,0
758,1
759,1
760,0
761,1
762,1
763,1
764,1
765,1
766,1
767,0
768,1
769,0
770,1
771,1
772,1
773,1
774,0
775,0
776,0
777,0
778,1
779,0
780,0
781,1
782,0
783,1
784,0
785,1
786,0
787,0
788,1
789,0
790,1
791,0
792,1
793,1
794,1
795,1
796,1
797,0
798,1
799,1
800,0
801,0
802,1
803,0
804,1
805,0
806,0
807,1
808,0
809,0
810,0
811,1
812,1
813,0
814,1
815,0
816,0
817,1
818,1
819,1
820,1
821,1
822,0
823,1
824,1
825,0
826,1
827,0
828,0
829,1
830,1
831,0
832,0
833,1
834,0
835,1
836,0
837,1
838,1
839,1
840,0
841,0
842,1
843,0
844,0
845,0
846,1
847,0
848,1
849,0
850,0
851,1
852,1
853,1
854,1
855,0
856,1
857,1
858,1
859,0
860,0
861,1
862,0
863,0
864,1
865,0
866,1
867,1
868,1
869,1
870,1
871,1
872,0
873,1
874,0
875,1
876,0
877,1
878,1
879,0
880,1
881,1
882,1
883,1
884,1
885,1
886,0
887,1
888,1
889,1
890,0
891,0
892,0
893,1
894,1
895,0
896,0
897,1
898,0
899,0
900,0
901,1
902,1
903,1
904,0
905,1
906,0
907,1
908,1
909,1
910,1
911,1
912,0
913,1
914,0
915,0
916,1
917,0
918,1
919,1
920,0
921,0
922,1
923,0
924,1
925,1
926,0
927,1
928,1
929,0
930,0
931,0
932,1
933,0
934,1
935,1
936,0
937,0
938,0
939,1
940,0
941,0
942,1
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,1
951,0
952,0
953,0
954,0
955,0
956,1
957,0
958,0
959,1
960,0
961,0
962,0
963,1
964,0
965,0
966,1
967,1
968,1
969,1
970,0
971,0
972,1
973,1
974,1
975,1
976,1
977,1
978,0
979,1
980,1
981,1
982,1
983,1
984,1
985,0
986,0
987,1
988,1
989,0
990,1
991,1
992,1
993,1
994,1
995,0
996,0
997,0
998,0
999,1
